ref id,title,exact date,mint date,compressed,image,marketplace,available,burned,high res image,detail page,contract,series,category,chain,type,total qty,metadata,notes,exhibited,description
1,TOKYO09,4/28/2022,April 2022,https://i.seadn.io/gae/o3S86lvBMRHgrbceUq_HP7rUfkY0FLAXW9NX52BpHxG8wogRd-LgJ0xWllBV1YEPgdqr4HvkI3nqt-J_tUFulUAwr4iD-E8cFQVElw?auto=format&dpr=1&w=256,https://dl.openseauserdata.com/cache/originImage/files/ffdac4f3c2249116692b874edb680c0b.jpg,https://opensea.io/assets/ethereum/0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7/10434,,Yes,,,Zora,,photography,ethereum,1 of 1,1,ipfs,burned to vitalik.eth,,
2,TheBenMeadows PFP,7/6/2022,July 2022,https://i.seadn.io/gcs/files/a31d04f59a374556879e25330875629b.png?auto=format&dpr=1&w=256,https://arweave.net/Rz5HVCi1rrl6SjA0eOyqhpb5LUz7OlBz4Z-ID9UApIE,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/1,,No,,,TheBenMeadows (Acheiropoieta),Not For Sale,photography,ethereum,1 of 1,1,arweave,,,
3,Bear Market Blues,11/10/2022,November 2022,https://i.seadn.io/gcs/files/771346d1be478b33528d8c7e2d8b30e2.jpg?auto=format&dpr=1&w=640,https://dl.openseauserdata.com/cache/originImage/files/771346d1be478b33528d8c7e2d8b30e2.jpg,https://opensea.io/assets/ethereum/0x34f7aa1a35d399751e05115a60b8d8a15dbb66fa/1,,No,,,TheBenMeadows Editions (ERC-1155),,ai-assisted,ethereum,Edition,3668,arweave,,,
4,World Crab,12/2/2022,December 2022,https://i.seadn.io/gcs/files/82aa3bf4a82ebe77d329322e712c0189.jpg?auto=format&dpr=1&w=640,https://dl.openseauserdata.com/cache/originImage/files/82aa3bf4a82ebe77d329322e712c0189.jpg,https://foundation.app/@thebenmeadows/thebenmeadows/3,,No,,,TheBenMeadows (Acheiropoieta),,ai-assisted,ethereum,1 of 1,1,arweave,,,
5,Rug Monster,12/2/2022,December 2022,https://i.seadn.io/gcs/files/183d1e77e7e8421e504ea8ae1f38792e.jpg?auto=format&dpr=1&w=512,https://arweave.net/jKyVZNysSoYyAo5npP3jqHZhqo7YdNZ1srX2frTHluA,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/6,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
6,Inspiration,12/2/2022,December 2022,https://i.seadn.io/gcs/files/787569047fc8e4b25b98cac28ff15258.jpg?auto=format&dpr=1&w=512,https://arweave.net/pdsO-hixYLCS8_gQhUxlYCtpSU26aB3RXyx3-XqJU7g,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/7,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
7,Creation,12/2/2022,December 2022,https://i.seadn.io/gcs/files/4380d05b817414485d941ac75eb6dafa.jpg?auto=format&dpr=1&w=256,https://dl.openseauserdata.com/cache/originImage/files/4380d05b817414485d941ac75eb6dafa.jpg,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/8,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
8,Man Eating Rug #1,12/2/2022,December 2022,https://i.seadn.io/gcs/files/50e0466977612e15d0fabec5f47b2ce2.jpg?auto=format&dpr=1&w=512,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/9,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
9,Man Eating Rug #2,12/2/2022,December 2022,https://i.seadn.io/gcs/files/185fd062888595fe7a7d769001b8f77e.jpg?auto=format&dpr=1&w=512,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/10,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
10,Man Eating Rug #3,12/2/2022,December 2022,https://i.seadn.io/gcs/files/513deb5d6b6c2fd3da635948fa12743b.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/11,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
11,Man Eating Rug #4,12/2/2022,December 2022,https://i.seadn.io/gcs/files/1218c900d4b8c4e447f2a451a2d2b309.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/12,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
12,Area Rug #1,12/2/2022,December 2022,https://i.seadn.io/gcs/files/c96c449c822b90d3406d8f093903aee4.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/13,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
13,Area Rug #2,12/2/2022,December 2022,https://i.seadn.io/gcs/files/2a3a065d027642f3191ff98b53158410.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/14,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
14,Area Rug #3,12/2/2022,December 2022,https://i.seadn.io/gcs/files/240dde3f7570185836f05fd5670eb2b0.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/15,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
15,Area Rug #4,12/2/2022,December 2022,https://i.seadn.io/gcs/files/509a6c5a668b51fbd16c20b84cd25e0c.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/16,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
16,Area Rug #5,12/2/2022,December 2022,https://i.seadn.io/gcs/files/cf5cc72b2b781360512cf9bbf9dfb7cb.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/17,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
17,Area Rug #6,12/2/2022,December 2022,https://i.seadn.io/gcs/files/628af04ccb746193679de99b46bd6c28.jpg?auto=format&dpr=1&w=750,,https://opensea.io/assets/ethereum/0xd410f741eb6f1f26796dc7629c2cf039ff975fdd/18,,No,,,TheBenMeadows (Acheiropoieta),Ceci n’est pas une tapis,ai-assisted,ethereum,1 of 1,1,arweave,,,
18,D1CKPUNCH,12/8/2022,December 2022,https://i.seadn.io/gae/P0i4RCLVKyvpyvw9eUVQWHmY-aH_Qu-0lCsIOk9cotJDBvDjnk6ItL-HAEdn4kC4_suyuXJqroRO0rU3WJSB2bu9PmtmM0n3ExeNPw?auto=format&dpr=1&w=640,https://dl.openseauserdata.com/cache/originImage/files/1373b22b4222a3fd57347cc4feb71bbd.jpg,https://opensea.io/assets/ethereum/0xb8b9f1356f6ff29295b02aefcd5df94de5c870da/2,,No,,,TheBenMeadows Limited Editions,,"ai-assisted, conceptual",ethereum,Edition,13,arweave,,,
19,TRICKY D1CKPUNCH,12/8/2022,December 2022,https://i.seadn.io/gae/uRXvwVzjyH3hPIE_VE0nJ4BhSm9xUevCxJfzdSfWD3cN8zi_N70eqI7L3gu6TcfwLbR0yVe0BeOv2ywkURfeRJySUsrZ1u0gWO-bRA?auto=format&dpr=1&w=640,https://dl.openseauserdata.com/cache/originImage/files/961ee7679df6ba1101aa6cb6a5455bf1.jpg,https://opensea.io/assets/ethereum/0xb8b9f1356f6ff29295b02aefcd5df94de5c870da/1,,No,,,TheBenMeadows Limited Editions,,"ai-assisted, conceptual",ethereum,Edition,13,arweave,,,
